	nome_produto	valor_produto	data_busca	link_produto
170	Pen Drive Chave Porsche - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-chave-porsche-mega-emporio/p/7726854/ia/inaz/
171	Pen Drive Taz - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-taz-mega-emporio/p/7727683/ia/inaz/
172	Pen Drive Pooh com Fundo Vermelho - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-pooh-com-fundo-vermelho-mega-emporio/p/7727588/ia/inaz/
173	Pen Drive Jason com Fone Branco - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-jason-com-fone-branco-mega-emporio/p/7725637/ia/inaz/
174	Pen Drive Coelho com os Olhos Fechados - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-coelho-com-os-olhos-fechados-mega-emporio/p/7759497/ia/inaz/
175	Hd Interno Sata Iii 3.5 Pol 500 Gb 7200Rpm Western Digital - Western Digital	307.9	5/10/2017	https://www.magazineluiza.com.br/hd-interno-sata-iii-3.5-pol-500-gb-7200rpm-western-digital-western-digital/p/7760223/ia/inaz/
176	Hd notebook 500gb sata 3 16mb 5400rpm (disco rígido) hts545050b7e380 hitachi - Hitachi	223.85	5/10/2017	https://www.magazineluiza.com.br/hd-notebook-500gb-sata-3-16mb-5400rpm-disco-rigido-hts545050b7e380-hitachi-hitachi/p/7764493/ia/inaz/
177	Pen Drive Nano 8GB USB 2.0 Preto PD053 - Multilaser - Multilaser	29.62	5/10/2017	https://www.magazineluiza.com.br/pen-drive-nano-8gb-usb-2.0-preto-pd053-multilaser-multilaser/p/7765410/ia/inaz/
178	Pen Drive Lanterna Verde Mini - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-lanterna-verde-mini-mega-emporio/p/7766466/ia/inaz/
179	Leitor Gravador De Cartão Micro Sd Usb Roxo Vivrw1000 Vivitar - Vivitar	22.9	5/10/2017	https://www.magazineluiza.com.br/leitor-gravador-de-cartao-micro-sd-usb-roxo-vivrw1000-vivitar-vivitar/p/7754670/ia/inaz/
180	Cartão De Memória 64Gb Com Adaptador Sd Sdcg64gb Kingston - Kingston	361.9	5/10/2017	https://www.magazineluiza.com.br/cartao-de-memoria-64gb-com-adaptador-sd-sdcg64gb-kingston-kingston/p/7756251/ia/inaz/
181	Pen Drive Osso - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-osso-mega-emporio/p/7768369/ia/inaz/
182	Hdd externo portatil wd my passport amarelo 1 tb - wdbynn0010byl-wesn - Wd	488.78	5/10/2017	https://www.magazineluiza.com.br/hdd-externo-portatil-wd-my-passport-amarelo-1-tb-wdbynn0010byl-wesn-wd/p/7767976/ia/inaz/
183	HD Externo Seagate 1TB Expansion - Seagate	398.53	5/10/2017	https://www.magazineluiza.com.br/hd-externo-seagate-1tb-expansion-seagate/p/7753628/ia/inaz/
184	HD Interno 10TB Seagate Sata SkyHawk 3.5 ST10000VX0004 - Cromado - Seagate	2049.0	5/10/2017	https://www.magazineluiza.com.br/hd-interno-10tb-seagate-sata-skyhawk-3.5-st10000vx0004-cromado-seagate/p/7752236/ia/inaz/
185	Pen Drive Abelha - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-abelha-mega-emporio/p/7753692/ia/inaz/
186	Pen Drive Menino sem Camisa de Short Azul - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-menino-sem-camisa-de-short-azul-mega-emporio/p/7753064/ia/inaz/
187	Carregador de bateria portátil cral para celular tablet mp3 mp4 - Cral	142.9	5/10/2017	https://www.magazineluiza.com.br/carregador-de-bateria-portatil-cral-para-celular-tablet-mp3-mp4-cral/p/7762484/ia/inaz/
188	Unidade disco sólido ssd 2.5 sata iii 480gb 6bps cs1111 - pny - Pny	939.9	5/10/2017	https://www.magazineluiza.com.br/unidade-disco-solido-ssd-2.5-sata-iii-480gb-6bps-cs1111-pny-pny/p/7763565/ia/inaz/
189	Pen Drive Boneco Cabeçudo - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-boneco-cabecudo-mega-emporio/p/7756063/ia/inaz/
190	Pen Drive Star Wars Stormtrooper 8Gb Usb 2.0 Pd039 Multilaser - Multilaser	34.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-star-wars-stormtrooper-8gb-usb-2.0-pd039-multilaser-multilaser/p/7702545/ia/inaz/
