	nome_produto	valor_produto	data_busca	link_produto
705	Capa Case Rock Fence Series iPhone 6 Plus 5.5 Transparente - Rock	49.9	5/10/2017	https://www.magazineluiza.com.br/capa-case-rock-fence-series-iphone-6-plus-5.5-transparente-rock/p/7074651/te/tlac/
706	Capa Case Flip Cover Clean-up Original Lg K4 2017 Preta - Voia	69.9	5/10/2017	https://www.magazineluiza.com.br/capa-case-flip-cover-clean-up-original-lg-k4-2017-preta-voia/p/7077568/te/acce/
707	Skin Premium - Adesivo Fibra de Carbono iPhone 5 5S 5SE - Cinza - Skin Premium	39.9	5/10/2017	https://www.magazineluiza.com.br/skin-premium-adesivo-fibra-de-carbono-iphone-5-5s-5se-cinza-skin-premium/p/7078718/te/tlac/
708	Youts, Capa para Smartphone Galaxy SIII - FT Cobra Corada - EC - Youts	7.9	5/10/2017	https://www.magazineluiza.com.br/youts-capa-para-smartphone-galaxy-siii-ft-cobra-corada-ec-youts/p/7076197/te/tlac/
709	Espelhamento de tela de celular mirror box wi-fi Android e IOS - AU906 - Multilaser - Multilaser	398.0	5/10/2017	https://www.magazineluiza.com.br/espelhamento-de-tela-de-celular-mirror-box-wi-fi-android-e-ios-au906-multilaser-multilaser/p/7075917/te/tlac/
710	Case de TPU Transparente para iPhone 4 - iFlex - Transparente - Youts	8.9	5/10/2017	https://www.magazineluiza.com.br/case-de-tpu-transparente-para-iphone-4-iflex-transparente-youts/p/7078728/te/tlac/
711	Capa para Smartphone iPhone 5/5S - Fashion Trends, Margaretas- Youts - Youts	7.9	5/10/2017	https://www.magazineluiza.com.br/capa-para-smartphone-iphone-5-5s-fashion-trends-margaretas-youts-youts/p/7116987/te/tlac/
712	Capa para iPhone 4  4S  Street Art Árvore + película protetora - Youts - Youts	9.9	5/10/2017	https://www.magazineluiza.com.br/capa-para-iphone-4-4s-street-art-arvore-pelicula-protetora-youts-youts/p/7118295/te/tlac/
713	Carregador Celular De Parede Kit Veicul+Pared+Cabo C/01 Ent Elgin - Elgin	37.4	5/10/2017	https://www.magazineluiza.com.br/carregador-celular-de-parede-kit-veicul-pared-cabo-c-01-ent-elgin-elgin/p/7114777/te/tlac/
714	Película Protetor de Tela para iPhone 4 - iFilm - Transparente - Youts	1.99	5/10/2017	https://www.magazineluiza.com.br/pelicula-protetor-de-tela-para-iphone-4-ifilm-transparente-youts/p/7125078/te/tlac/
715	Capa Protetora Iphone Celular 5.5 Polegada Em Silicone Banba Bumper Case Antichoque Vermelho (capacelsili) - Abm	21.89	5/10/2017	https://www.magazineluiza.com.br/capa-protetora-iphone-celular-5.5-polegada-em-silicone-banba-bumper-case-antichoque-vermelho-capacelsili-abm/p/7119800/te/tlac/
716	Alicate separador lcd touch ventosa iphone galaxy zenfone samsung lg nokia motorola htc sony - Wlxy	120.0	5/10/2017	https://www.magazineluiza.com.br/alicate-separador-lcd-touch-ventosa-iphone-galaxy-zenfone-samsung-lg-nokia-motorola-htc-sony-wlxy/p/7002662/te/tlac/
